Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (noTTA @0.5),94.143,90.297,98.914,94.41,89.371,99.203,99.143
Val   (noTTA @0.5),78.672,51.101,86.891,64.355,76.333,89.872,72.157
Test  (noTTA @0.5),78.008,50.22,85.393,63.245,75.906,88.376,70.393
Val   (noTTA @t=0.637),83.32,59.066,80.524,68.146,84.115,89.872,72.157
Test  (noTTA @t=0.637),82.158,57.263,76.779,65.6,83.689,88.376,70.393
