Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (Best),94.143,90.297,98.914,94.41,89.371,99.203,99.143
Val (Best),78.672,51.101,86.891,64.355,76.333,89.872,72.157
Test (Best),78.008,50.22,85.393,63.245,75.906,88.376,70.393
