Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (Best),87.471,95.61,78.548,86.243,96.393,97.167,96.969
Val (Best),86.639,69.485,70.787,70.13,91.151,91.256,75.411
Test (Best),85.145,68.033,62.172,64.971,91.684,89.864,74.196
