Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (Best @0.5),95.175,92.373,98.48,95.329,91.869,99.08,98.951
Val   (Best @0.5),85.975,63.764,85.019,72.873,86.247,92.21,78.607
Test  (Best @0.5),85.975,64.162,83.146,72.431,86.78,91.778,77.57
Val   (Best_t=0.532),86.224,65.165,81.273,72.333,87.633,92.21,78.607
Test  (Best_t=0.532),87.054,67.077,81.648,73.649,88.593,91.778,77.57
