Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (noTTA @0.5),93.835,91.464,96.694,94.006,90.976,98.2,97.884
Val   (noTTA @0.5),85.975,64.497,81.648,72.066,87.207,92.154,79.109
Test  (noTTA @0.5),85.726,64.798,77.903,70.748,87.953,92.511,79.331
Val   (noTTA @t=0.532),86.639,66.562,79.775,72.572,88.593,92.154,79.109
Test  (noTTA @t=0.532),86.639,68.027,74.906,71.301,89.979,92.511,79.331
