Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (Best),93.835,91.464,96.694,94.006,90.976,98.2,97.884
Val (Best),85.975,64.497,81.648,72.066,87.207,92.154,79.109
Test (Best),85.726,64.798,77.903,70.748,87.953,92.511,79.331
