model,T_cal,internal_thr,best_calib_t_f1,best_calib_t_r80,calib_f1_at_best_t_f1,calib_precision_at_best_t_f1,calib_recall_at_best_t_f1,calib_spec_at_best_t_f1,calib_precision_at_best_t_r80,calib_recall_at_best_t_r80,calib_f1_at_best_t_r80,calib_spec_at_best_t_r80
Baseline,0.7342151403427124,0.76,0.04,0.03,0.8147268408551069,0.8511166253101737,0.7813211845102506,0.863013698630135,0.7910112359550562,0.8018223234624146,0.7963800904977375,0.7876712328767105
Baseline+ECA,0.9941990971565247,0.15000000000000002,0.11,0.09999999999999999,0.7990867579908676,0.8009153318077803,0.7972665148063781,0.8013698630136967,0.7557894736842106,0.8177676537585421,0.7855579868708972,0.7351598173515964
Baseline+LSMF,0.9304637312889099,0.81,0.04,0.03,0.7843575418994413,0.7697368421052632,0.7995444191343963,0.760273972602738,0.6477462437395659,0.8838268792710706,0.7475915221579962,0.5182648401826472
Baseline+ECA+LSMF,0.7161315083503723,0.75,0.04,0.02,0.7976190476190477,0.8354114713216958,0.7630979498861048,0.8493150684931488,0.7345309381237525,0.8382687927107062,0.7829787234042553,0.6963470319634687
