Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (Best),90.529,87.143,95.086,90.941,85.971,97.044,96.909
Val (Best),81.494,55.164,88.015,67.821,79.638,89.959,72.442
Test (Best),81.577,55.639,83.146,66.667,81.13,90.85,74.754
