train_loss,val_loss,val_acc,val_prec,val_rec,val_f1,val_spec,val_roc,val_pr
0.3220095222908617,0.07657378603587088,0.7784232365145228,0.0,0.0,0.0,0.999999999989339,0.6264683804093498,0.2899094190803027
0.2866392354299295,0.097883458391128,0.22821576763485477,0.22305764411027568,1.0,0.36475409836065575,0.008528784648096708,0.7295105531731392,0.38096343526589077
0.2706206314938135,0.08361755672916277,0.5983402489626556,0.3387815750371471,0.8539325842696629,0.4851063829787234,0.5255863539389596,0.786708512014566,0.5334431271461229
0.26072794451413067,0.06372661212002796,0.7311203319502074,0.43790849673202614,0.7528089887640449,0.5537190082644629,0.7249466950882202,0.8143392188336008,0.5635000413964733
0.2518623535942549,0.05960888152214273,0.8232365145228215,0.6194690265486725,0.5243445692883895,0.5679513184584178,0.9083155650222994,0.8022088593948397,0.5677166067042793
0.24466109564875665,0.06596292346247182,0.7493775933609959,0.4639175257731959,0.8426966292134831,0.598404255319149,0.722814498926196,0.8503869097530007,0.6149807708614301
0.23312799622772332,0.07324344076413587,0.7053941908713693,0.42542372881355933,0.9400749063670412,0.5857642940490082,0.638592750526241,0.882311955471439,0.6795221370068584
0.23143688574186005,0.05595183358003466,0.816597510373444,0.5558252427184466,0.8576779026217228,0.6745213549337261,0.8049040511641268,0.886147113549428,0.6965496308922764
0.2240029294275644,0.057633657572753974,0.795850622406639,0.5253012048192771,0.8164794007490637,0.6392961876832844,0.7899786780299576,0.8721281234278048,0.6438900904444934
0.21813574697072638,0.04636296690040768,0.8240663900414937,0.5729442970822282,0.8089887640449438,0.6708074534161491,0.8283582089463928,0.9005454269583065,0.7249517329968417
0.21313899487345886,0.058811878736149396,0.804149377593361,0.5375302663438256,0.8314606741573034,0.6529411764705882,0.7963752665160301,0.8829607979364813,0.6803638438734521
0.20859003510824656,0.054861886045951026,0.8224066390041493,0.5667506297229219,0.8426966292134831,0.677710843373494,0.8166311300552598,0.9016474609297014,0.7253500259448985
0.2039918397220926,0.0460873737326817,0.8398340248962656,0.6005434782608695,0.8277153558052435,0.6960629921259842,0.843283582080562,0.9037636855849166,0.7286793880912275
0.20038651441421004,0.041546072599644594,0.8547717842323651,0.6619718309859155,0.704119850187266,0.6823956442831216,0.8976545842121785,0.9108310773579933,0.7435162108912362
0.19449609312116792,0.04542221067880361,0.8398340248962656,0.6170886075949367,0.7303370786516854,0.6689536878216124,0.8710021321868763,0.8996909513428044,0.7037584171678528
0.18980475263187035,0.042027326466111674,0.8547717842323651,0.652317880794702,0.7378277153558053,0.6924428822495606,0.8880597014830697,0.9062073261301837,0.7368696624750599
0.18447172882791832,0.057710244183101694,0.795850622406639,0.5227765726681128,0.9026217228464419,0.6620879120879121,0.7654584221666796,0.9146522603675044,0.7727254571298308
0.18079019482923803,0.05814332536588244,0.8149377593360996,0.5521327014218009,0.8726591760299626,0.6763425253991292,0.7985074626780543,0.903384362297661,0.7112552598829792
0.1756450450722673,0.04854012716199974,0.8356846473029046,0.5905511811023622,0.8426966292134831,0.6944444444444444,0.8336886993514532,0.9109867995496035,0.7395228244513049
0.1688787423784089,0.046418180623491116,0.8439834024896266,0.6058981233243967,0.846441947565543,0.70625,0.843283582080562,0.91893262419843,0.7745354486466722
0.16755969762696818,0.05161904132175599,0.8132780082987552,0.5504807692307693,0.8576779026217228,0.6705710102489019,0.8006396588400785,0.9156504795444926,0.7676403829441182
0.16062497697459993,0.048177041345062864,0.8381742738589212,0.5942408376963351,0.850187265917603,0.699537750385208,0.8347547974324653,0.9187210017329085,0.7761631828632435
0.15808735186841794,0.04971279428314089,0.8489626556016597,0.6276276276276276,0.7827715355805244,0.6966666666666667,0.8678038379438401,0.9108270844812854,0.7510661783705472
0.1552970815931555,0.04673990356091746,0.8514522821576763,0.6666666666666666,0.6591760299625468,0.6629001883239172,0.9061833688602752,0.9078603770872762,0.7264640733320322
0.15122167435165842,0.05061068273587337,0.8307053941908714,0.5805626598465473,0.850187265917603,0.6899696048632219,0.8251599147033565,0.9132507606430129,0.7602169080979567
0.14833786435946011,0.06060655420071801,0.812448132780083,0.5471264367816092,0.8913857677902621,0.6780626780626781,0.7899786780299576,0.9202223233750988,0.7777554435207504
0.1461469727699658,0.04395657378591563,0.8580912863070539,0.6702127659574468,0.7078651685393258,0.6885245901639344,0.9008528784552148,0.9159938669413765,0.7684787083882952
0.1418858560962233,0.05003829643411993,0.8522821576763485,0.6412698412698413,0.7565543071161048,0.6941580756013745,0.879530916834973,0.9185493080344665,0.7632494984428027
0.13825189395938348,0.05115467782251176,0.8738589211618257,0.7405857740585774,0.6629213483146067,0.6996047430830039,0.9339019189665895,0.9181380417335474,0.7688520729590723
0.1339466244756948,0.0621825246871971,0.8257261410788381,0.5798319327731093,0.7752808988764045,0.6634615384615384,0.8400852878375258,0.891745126693978,0.7303388689151843
0.13219640668969032,0.05495543459836345,0.866390041493776,0.6853146853146853,0.7340823970037453,0.7088607594936709,0.9040511726982511,0.9168163995432149,0.7750307752387745
0.1281515452640418,0.05873888304166328,0.8730290456431535,0.7192307692307692,0.700374531835206,0.7096774193548387,0.9221748400754566,0.923428603371585,0.7895839623623406
0.12620703168235559,0.059143863346526805,0.8688796680497926,0.6898954703832753,0.7415730337078652,0.7148014440433214,0.9051172707792632,0.9190524104996686,0.7771934139137433
0.12503946248125014,0.054790565488537626,0.8556016597510373,0.6485623003194888,0.7602996254681648,0.7,0.8827292110780093,0.9248141315892447,0.7695784032613769
0.1195296696252112,0.06821239341454295,0.8605809128630706,0.6689419795221843,0.7340823970037453,0.7,0.8965884861311664,0.9115497951654249,0.7477698391765651
0.1197269394740184,0.05400034854563647,0.8423236514522822,0.6360424028268551,0.6741573033707865,0.6545454545454545,0.8901918976450939,0.9064628702394927,0.7441375631456522
0.12090317971805012,0.0695360470917944,0.837344398340249,0.6047197640117994,0.7677902621722846,0.6765676567656765,0.8571428571337192,0.9082916077717352,0.738435841734059
0.11636700282723547,0.06369436697834285,0.870539419087137,0.689419795221843,0.7565543071161048,0.7214285714285714,0.902985074617239,0.921563929948971,0.7798459711867712
0.11251010638379423,0.06878505583641009,0.8307053941908714,0.590778097982709,0.7677902621722846,0.6677524429967426,0.8486140724856225,0.9031128466815201,0.7442855567741752
0.10911770009305131,0.07563444856568166,0.8464730290456431,0.6164772727272727,0.8127340823970037,0.7011308562197092,0.8560767590527071,0.9137578559849229,0.7587757022367795
