Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (noTTA @0.5),92.055,89.957,94.681,92.259,89.429,97.413,96.966
Val   (noTTA @0.5),82.49,57.692,78.652,66.561,83.582,90.649,73.117
Test  (noTTA @0.5),83.983,60.947,77.154,68.099,85.928,89.8,72.683
Val   (noTTA @t=0.637),85.892,68.441,67.416,67.925,91.151,90.649,73.117
Test  (noTTA @t=0.637),86.556,70.916,66.667,68.726,92.217,89.8,72.683
