Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (Best),92.055,89.957,94.681,92.259,89.429,97.413,96.966
Val (Best),82.49,57.692,78.652,66.561,83.582,90.649,73.117
Test (Best),83.983,60.947,77.154,68.099,85.928,89.8,72.683
