Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (noTTA @0.5),90.529,87.143,95.086,90.941,85.971,97.044,96.909
Val   (noTTA @0.5),81.494,55.164,88.015,67.821,79.638,89.959,72.442
Test  (noTTA @0.5),81.577,55.639,83.146,66.667,81.13,90.85,74.754
Val   (noTTA @t=0.584),86.141,67.606,71.91,69.691,90.192,89.959,72.442
Test  (noTTA @t=0.584),86.971,69.366,73.783,71.506,90.725,90.85,74.754
