setting,n,pos_rate,t,acc,precision,recall,f1,spec,roc_auc,pr_auc,tn,fp,fn,tp
External ALL | No tuning,4388,0.5,0.37,0.7579762989972653,0.8903448275862069,0.5884229717411121,0.7085620197585072,0.9275296262534181,0.8444321506653182,0.8651390801403076,2035,159,903,1291
External TEST | No tuning,3511,0.4998575904300769,0.37,0.7567644545713472,0.8860325621251071,0.5891737891737892,0.7077344284736482,0.9242596810933936,0.846517596973178,0.8666154861340818,1623,133,721,1034
External TEST | Tuned on calib (max F1),3511,0.4998575904300769,0.09999999999999999,0.7675875818855027,0.7936210131332082,0.7230769230769231,0.7567084078711985,0.8120728929384962,0.846517596973178,0.8666154861340818,1426,330,486,1269
External TEST | Tuned on calib (Recall>=0.80),3511,0.4998575904300769,0.05,0.7584733694104244,0.7348524080787157,0.8085470085470086,0.7699403147042865,0.708428246013667,0.846517596973178,0.8666154861340818,1244,512,336,1419
