model,use_eca,use_lsmf,use_seg_guided,img_size,batch_size,total_params,trainable_params,total_params_M,trainable_params_M,checkpoint_size_MB,state_dict_size_MB,estimated_FLOPs,estimated_GFLOPs,mean_latency_ms_per_batch,median_latency_ms_per_batch,mean_latency_ms_per_image,median_latency_ms_per_image,throughput_img_per_s,peak_gpu_memory_MB
Baseline,False,False,False,576,1,37472404,37472404,37.472404,37.472404,143.05401420593262,143.06535816192627,165617928163.0,165.617928163,27.780157527923585,27.745919227600098,27.780157527923585,27.745919227600098,35.99691610801116,326.33251953125
Baseline+ECA,True,False,False,576,1,37472407,37472407,37.472407,37.472407,143.05432605743408,143.0657262802124,165618176995.0,165.618176995,29.169728984832762,29.161439895629883,29.169728984832762,29.161439895629883,34.28211487737733,324.3828125
Baseline+LSMF,False,True,False,576,1,39539863,39539863,39.539863,39.539863,150.9463529586792,150.9587049484253,170969808388.0,170.969808388,29.157487983703614,28.942895889282227,29.157487983703614,28.942895889282227,34.29650731773975,336.943359375
Baseline+ECA+LSMF,True,True,False,576,1,39539866,39539866,39.539866,39.539866,150.94666481018066,150.95907306671143,170970057220.0,170.97005722,28.99354545593262,29.07817554473877,28.99354545593262,29.07817554473877,34.490435173576934,335.84130859375
