model,T_cal,fixed_thr,t,n,pos_rate,acc,precision,recall,f1,spec,tn,fp,fn,tp,roc_auc,pr_auc
Baseline,0.7342151403427124,0.76,0.76,4388,0.5,0.7618505013673655,0.952006294256491,0.5515041020966271,0.6984126984126984,0.9721969006381035,2133,61,984,1210,0.8604611981462662,0.8837801964049566
Baseline+ECA,0.9941990971565247,0.15000000000000002,0.15000000000000002,4388,0.5,0.809024612579763,0.8469805527123848,0.7543299908842297,0.7979749276759884,0.863719234275296,1895,299,539,1655,0.8737843908430134,0.8920547265054593
Baseline+LSMF,0.9304637312889099,0.81,0.81,4388,0.5,0.7616226071103008,0.9584664536741214,0.5469462169553327,0.6964596633778294,0.9762989972652685,2142,52,994,1200,0.8608719063925897,0.8848125428536444
Baseline+ECA+LSMF,0.7161315083503723,0.75,0.75,4388,0.5,0.7748404740200547,0.9369565217391305,0.589334548769371,0.723559037493005,0.960346399270738,2107,87,901,1293,0.8584071375567242,0.8845233559001474
