Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
"Val  (Raw,   best_t=0.323)",87.137,66.471,84.644,74.465,87.846,93.6,80.333
"Test (Raw,   best_t=0.323)",86.639,65.774,82.772,73.3,87.74,93.452,82.713
"Val  (Calib, best_t_cal=0.376)",87.137,67.61,80.524,73.504,89.019,93.115,79.543
"Test (Calib, best_t_cal=0.376)",87.884,70.37,78.277,74.113,90.618,92.897,82.036
