Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (noTTA @0.5),97.854,97.424,98.307,97.864,97.401,99.674,99.593
Val   (noTTA @0.5),87.967,73.106,72.285,72.693,92.431,93.115,79.543
Test  (noTTA @0.5),88.548,76.113,70.412,73.152,93.71,92.897,82.036
Val   (noTTA @t=0.376),87.137,67.391,81.273,73.684,88.806,93.115,79.543
Test  (noTTA @t=0.376),88.05,70.033,80.524,74.913,90.192,92.897,82.036
