Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (Best),97.854,97.424,98.307,97.864,97.401,99.674,99.593
Val (Best),88.88,76.285,72.285,74.231,93.603,93.6,80.333
Test (Best),89.212,78.423,70.787,74.409,94.456,93.452,82.713
