Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (Best),97.461,95.339,99.8,97.519,95.121,99.902,99.896
Val (Best),84.232,60.49,83.146,70.032,84.542,92.245,79.986
Test (Best),84.647,61.85,80.15,69.821,85.928,91.728,78.291
