Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (noTTA @0.5),97.461,95.339,99.8,97.519,95.121,99.902,99.896
Val   (noTTA @0.5),84.232,60.49,83.146,70.032,84.542,92.245,79.986
Test  (noTTA @0.5),84.647,61.85,80.15,69.821,85.928,91.728,78.291
Val   (noTTA @t=0.480),84.315,60.372,85.019,70.607,84.115,92.245,79.986
Test  (noTTA @t=0.480),83.983,60.335,80.899,69.12,84.861,91.728,78.291
